ElectionID,RegionID,ParentID,RegionName,DistrictName
NR2017,G30728,G30700,Wolfsthal,
NR2017,G30729,G30700,Ebergassing,
NR2017,G30730,G30700,Fischamend,
NR2017,G30731,G30700,Gramatneusiedl,
NR2017,G30732,G30700,Himberg,
NR2017,G30733,G30700,Klein-Neusiedl,
NR2017,G30734,G30700,Lanzendorf,
NR2017,G30735,G30700,Leopoldsdorf,
NR2017,G30736,G30700,Maria-Lanzendorf,
NR2017,G30737,G30700,Moosbrunn,
NR2017,G30738,G30700,Rauchenwarth,
NR2017,G30739,G30700,Schwadorf,
NR2017,G30740,G30700,Schwechat,
NR2017,G30741,G30700,Zwölfaxing,
NR2017,G30799,G30700,Wahlkarten - Bruck an der Leitha,
NR2017,G30800,G3G000,Gänserndorf,
NR2017,G30801,G30800,Aderklaa,
NR2017,G30802,G30800,Andlersdorf,
NR2017,G30803,G30800,Angern an der March,
NR2017,G30804,G30800,Auersthal,
NR2017,G30805,G30800,Bad Pirawarth,
NR2017,G30808,G30800,Deutsch-Wagram,
NR2017,G30810,G30800,Drösing,
NR2017,G30811,G30800,Dürnkrut,
NR2017,G30812,G30800,Ebenthal,
NR2017,G30813,G30800,Eckartsau,
NR2017,G30814,G30800,Engelhartstetten,
NR2017,G30817,G30800,Gänserndorf,
NR2017,G30819,G30800,Glinzendorf,
NR2017,G30821,G30800,Groß-Enzersdorf,
NR2017,G30822,G30800,Großhofen,
NR2017,G30824,G30800,Groß-Schweinbarth,
NR2017,G30825,G30800,Haringsee,
NR2017,G30826,G30800,Hauskirchen,
NR2017,G30827,G30800,Hohenau an der March,
NR2017,G30828,G30800,Hohenruppersdorf,
NR2017,G30829,G30800,Jedenspeigen,
NR2017,G30830,G30800,Lassee,
NR2017,G30831,G30800,Leopoldsdorf im Marchfelde,
NR2017,G30834,G30800,Mannsdorf an der Donau,
NR2017,G30835,G30800,Marchegg,
NR2017,G30836,G30800,Markgrafneusiedl,
NR2017,G30838,G30800,Matzen-Raggendorf,
NR2017,G30841,G30800,Neusiedl an der Zaya,
NR2017,G30842,G30800,Obersiebenbrunn,
NR2017,G30844,G30800,Orth an der Donau,
NR2017,G30845,G30800,Palterndorf-Dobermannsdorf,
NR2017,G30846,G30800,Parbasdorf,
NR2017,G30848,G30800,Prottes,
NR2017,G30849,G30800,Raasdorf,
NR2017,G30850,G30800,Ringelsdorf-Niederabsdorf,
NR2017,G30852,G30800,Schönkirchen-Reyersdorf,
NR2017,G30854,G30800,Spannberg,
NR2017,G30856,G30800,Strasshof an der Nordbahn,
NR2017,G30857,G30800,Sulz im Weinviertel,
NR2017,G30858,G30800,Untersiebenbrunn,
NR2017,G30859,G30800,Velm-Götzendorf,
NR2017,G30860,G30800,Weikendorf,
NR2017,G30863,G30800,Zistersdorf,
NR2017,G30865,G30800,Weiden an der March,
NR2017,G30899,G30800,Wahlkarten - Gänserndorf,
NR2017,G30900,G3B000,Gmünd,
NR2017,G30902,G30900,Amaliendorf-Aalfang,
NR2017,G30903,G30900,Brand-Nagelberg,
NR2017,G30904,G30900,Eggern,
NR2017,G30906,G30900,Eisgarn,
NR2017,G30908,G30900,Gmünd,
NR2017,G30909,G30900,Großdietmanns,
NR2017,G30910,G30900,Bad Großpertholz,
NR2017,G30912,G30900,Großschönau,
NR2017,G30913,G30900,Moorbad Harbach,
NR2017,G30915,G30900,Haugschlag,
NR2017,G30916,G30900,Heidenreichstein,
NR2017,G30917,G30900,Hirschbach,
NR2017,G30920,G30900,Hoheneich,
NR2017,G30921,G30900,Kirchberg am Walde,
NR2017,G30925,G30900,Litschau,
NR2017,G30929,G30900,Reingers,
NR2017,G30932,G30900,St. Martin,
NR2017,G30935,G30900,Schrems,
NR2017,G30939,G30900,Unserfrau-Altweitra,
NR2017,G30940,G30900,Waldenstein,
NR2017,G30942,G30900,Weitra,
NR2017,G30999,G30900,Wahlkarten - Gmünd,
NR2017,G31000,G3A000,Hollabrunn,
NR2017,G31001,G31000,Alberndorf im Pulkautal,
NR2017,G31008,G31000,Göllersdorf,
NR2017,G31009,G31000,Grabern,
NR2017,G31014,G31000,Guntersdorf,
NR2017,G31015,G31000,Hadres,
NR2017,G31016,G31000,Hardegg,
NR2017,G31018,G31000,Haugsdorf,
NR2017,G31019,G31000,Heldenberg,
NR2017,G31021,G31000,Hohenwarth-Mühlbach a.M.,
NR2017,G31022,G31000,Hollabrunn,
NR2017,G31025,G31000,Mailberg,
NR2017,G31026,G31000,Maissau,
NR2017,G31028,G31000,Nappersdorf-Kammersdorf,
