AKey,Name,Aliases,Affiliation,Country,Website
A36436,Mohammed S. Quraishi,,,,
A36551,Patricia Iglesias Sánchez,,,,
A36612,Fabian Nagel,,,,
A36651,Byungnam Lim,,,,
A36693,Dean Kleissas,Dean M. Kleissas,,,
A36699,Antony Curtis,,,,
A36727,Katriina Vakkila,,,,
A36758,Deomid Ryabkov,,,,
A36860,Evica Milchevski,Evica Ilieva,University of Kaiserslautern,Germany,https://scholar.google.com/citations?user=f8C_jG0AAAAJ
A36866,Silu Huang,,,,
A36912,Ngoc-Trung Tran,Trung Ngoc Tran:Tran Ngoc Trung,,,
A36919,Chenyun Yu,,,,
A36959,Shirley Lu,,,,
A37013,Kersi Taraporewalla,,,,
A37071,Sindhuja Ravichandran,,,,
A37168,Mohamad Gharib,,,,
A37185,Chenglin Miao,,,,
A37225,Xu Chu,,,,
A37239,Andy Yuan Xue,,University of Melbourne,Australia,
A37443,Zhiqian Chen,,,,https://scholar.google.com/citations?user=y3Nm4N8AAAAJ
A37475,Lingjiao Chen,,,,
A37536,Diogo Behrens,,,,
A37746,Konstantinos Semertzidis,,,,https://orcid.org/0000-0002-7040-6706
A37845,Botong Huang,,,,
A37975,Marius Eich,,,,
A38010,Matteo Lombardi,,,,
A38028,Da Yin,,,,
A38030,Joni Salminen,Joni O. Salminen,,,
A38153,Kenneth S. Bøgh,,,,
A38343,Badr Atassi,,,,
A38364,Jonny Daenen,,,,
A38423,Kaiyu Li,,,,
A38529,Robert Christensen,,,,
A38647,Erik Ismert,,,,
A38649,Gareth J. Funning,,,,
A38656,Xika Lin,,,,
A38662,Sean R. Spillane,,,,
A38807,Alejandro Guerrero Gonzalez,,,,
A38842,Kailun Hu,,,,
A38860,Luyi Mo,,,,
A38911,Daniel Kemp,,,,
A38928,Kimon Batoulis,,,,
A38940,Tim Foltz,,,,
A38944,Jun-Weon Yoon,,,,
A38962,Priya Manavalan,,,,
A38969,Jinjia Zhao,,,,
A39055,Wai Ip,,,,
A39159,Raul Castro Fernandez,,,,
A39163,Ivo Garcia dos Santos,,,,
A39172,Nitin Verma,,,,
A39240,Nicholas R. Jennings,Nicholas Robert Jennings:Nick R. Jennings,University of Southampton,United Kingdom,http://www.ecs.soton.ac.uk/~nrj/
A39244,Paul Johannesson,,,,http://www.dsv.su.se/~pajo/
A39250,Mustafa Jarrar,,,,http://www.jarrar.info/
A39257,Stéphane Jean,,,,http://www.lias-lab.fr/members/stephanejean
A39259,Simon L. Peyton Jones,Simon Peyton Jones,Microsoft,USA,http://research.microsoft.com/Users/simonpj/
A39265,Sabina Jeschke,,RWTH Aachen,Germany,http://www.ima-zlw-ifu.rwth-aachen.de/index.php
A39275,Thorsten Joachims,,Cornell University,USA,http://www.cs.cornell.edu/People/tj/
A39277,Alípio Mário Jorge,Alípio M. Jorge:Alípio Jorge,University of Porto,Portugal,http://www.liaad.up.pt/~amjorge
A39280,Ari Juels,,,,http://www.rsasecurity.com/rsalabs/node.asp?id=2029
A39288,Joaquim A. Jorge,Joaquim Armando Pires Jorge,Technical University of Lisbon,Portugal,http://web.ist.utl.pt/jorgej/
A39302,Kalervo Järvelin,,University of Tampere,Finland,http://www.uta.fi/~likaja/
A39313,Christian S. Jensen,,Aalborg University,Denmark,http://people.cs.aau.dk/~csj/
A39328,Somesh Jha,,University of Wisconsin Madison,USA,http://www.cs.wisc.edu/~jha/
A39336,Pankaj Jalote,,IIT Kanpur,India,http://www.cse.iitk.ac.in/users/jalote/
A39346,Dietmar Jannach,,Dortmund University of Technology,Germany,http://www.configworks.com/dj/index.html
A39347,Anupam Joshi,,University of Maryland,USA,http://www.cs.umbc.edu/~joshi/
A39350,Xiaoyi Jiang 0001,,University of Münster,Germany,http://cvpr.uni-muenster.de/organisation/jiang.html
A39351,William K. Josephson,William Josephson,Solano Labs,Germany,
A39355,Sanjay Jain,,,,
A39362,Chris Jermaine,Christopher M. Jermaine,Rice University,USA,http://www.cs.rice.edu/~cmj4/
A39370,Rong Jin,Jing Rong,Michigan State University,USA,http://www.cse.msu.edu/~rongjin/
A39385,Jaeyeon Jung,,MIT,USA,http://nms.csail.mit.edu/~jyjung/
A39386,Jesper Jansson,,The Hong Kong Polytechnic University,Hong Kong,http://www4.comp.polyu.edu.hk/~csjj/
A39390,Gabriela Jacques-Silva,Gabriela Jacques da Silva,,,
A39395,Giulio Jacucci,Giulio Iacucci,,,http://www.hiit.fi/~gjacucci
A39398,Lizy Kurian John,Lizy K. John:Lizyamma Kurian,University of Texas at Austin,USA,http://www.ece.utexas.edu/~ljohn/
A39410,Hasan M. Jamil,Hasan Jamil,University of Idaho,USA,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/hasan-jamil
A39423,Michael I. Jordan,,UC,USA,http://www.cs.berkeley.edu/~jordan/
A39427,Sushil Jajodia,,George Mason University,USA,http://csis.gmu.edu/jajodia/
A39442,Nathalie Japkowicz,,University of Ottawa,Canada,http://www.site.uottawa.ca/~nat/
